"","region","date","temp","rain"
"1","SYU",2008-01-01,7.96600000000001,0
"2","SYU",2008-01-02,9.16200000000003,0
"3","SYU",2008-01-03,11.755,0
"4","SYU",2008-01-04,12.518,1
"5","SYU",2008-01-05,13.513,0
"6","SYU",2008-01-06,16.522,0
"7","SYU",2008-01-07,17.273,0
"8","SYU",2008-01-08,17.644,0
"9","SYU",2008-01-09,18.271,0
"10","SYU",2008-01-10,18.277,0
"11","SYU",2008-01-11,20.204,0
"12","SYU",2008-01-12,17.939,0
"13","SYU",2008-01-13,13.715,5
"14","SYU",2008-01-14,12.642,2
"15","SYU",2008-01-15,13.94,1
"16","SYU",2008-01-16,11.499,0
"17","SYU",2008-01-17,12.514,0
"18","SYU",2008-01-18,13.955,0
"19","SYU",2008-01-19,15.739,0
"20","SYU",2008-01-20,16.966,0
"21","SYU",2008-01-21,15.989,0
"22","SYU",2008-01-22,16.019,1
"23","SYU",2008-01-23,14.568,1
"24","SYU",2008-01-24,12.907,0
"25","SYU",2008-01-25,14.224,18
"26","SYU",2008-01-26,13.508,18
"27","SYU",2008-01-27,14.295,2
"28","SYU",2008-01-28,14.763,2
"29","SYU",2008-01-29,14.4570000000001,1
"30","SYU",2008-01-30,13.038,3
"31","SYU",2008-01-31,11.593,5
"32","SYU",2008-02-01,13.895,2
"33","SYU",2008-02-02,12.125,11
"34","SYU",2008-02-03,9.87700000000001,3
"35","SYU",2008-02-04,12.2,7
"36","SYU",2008-02-05,11.531,4
"37","SYU",2008-02-06,9.14400000000001,2
"38","SYU",2008-02-07,9.07300000000004,9
"39","SYU",2008-02-08,9.01100000000002,2
"40","SYU",2008-02-09,6.65600000000001,1
"41","SYU",2008-02-10,9.23600000000005,1
"42","SYU",2008-02-11,8.93600000000004,1
"43","SYU",2008-02-12,6.584,1
"44","SYU",2008-02-13,7.38100000000003,0
"45","SYU",2008-02-14,8.55700000000002,1
"46","SYU",2008-02-15,8.94400000000002,0
"47","SYU",2008-02-16,11.201,0
"48","SYU",2008-02-17,12.726,0
"49","SYU",2008-02-18,12.821,1
"50","SYU",2008-02-19,12.331,0
"51","SYU",2008-02-20,13.196,0
"52","SYU",2008-02-21,14.968,0
"53","SYU",2008-02-22,16.158,6
"54","SYU",2008-02-23,13.334,12
"55","SYU",2008-02-24,14.288,1
"56","SYU",2008-02-25,13.763,4
"57","SYU",2008-02-26,11.715,1
"58","SYU",2008-02-27,10.373,0
"59","SYU",2008-02-28,12.202,0
"60","SYU",2008-02-29,11.851,2
"61","SYU",2008-03-01,14.451,1
"62","SYU",2008-03-02,14.078,0
"63","SYU",2008-03-03,13.479,0
"64","SYU",2008-03-04,12.209,0
"65","SYU",2008-03-05,13.747,0
"66","SYU",2008-03-06,14.866,0
"67","SYU",2008-03-07,15.209,1
"68","SYU",2008-03-08,13.205,1
"69","SYU",2008-03-09,15.505,1
"70","SYU",2008-03-10,14.615,3
"71","SYU",2008-03-11,16.737,1
"72","SYU",2008-03-12,18.558,0
"73","SYU",2008-03-13,17.417,1
"74","SYU",2008-03-14,15.262,1
"75","SYU",2008-03-15,17.3320000000001,1
"76","SYU",2008-03-16,17.425,0
"77","SYU",2008-03-17,18.419,0
"78","SYU",2008-03-18,18.696,2
"79","SYU",2008-03-19,16.402,1
"80","SYU",2008-03-20,18.282,1
"81","SYU",2008-03-21,17.588,1
"82","SYU",2008-03-22,18.003,18
"83","SYU",2008-03-23,14.687,4
"84","SYU",2008-03-24,15.851,3
"85","SYU",2008-03-25,16.966,0
"86","SYU",2008-03-26,15.217,0
"87","SYU",2008-03-27,17.194,0
"88","SYU",2008-03-28,18.277,2
"89","SYU",2008-03-29,20.501,3
"90","SYU",2008-03-30,18.148,2
"91","SYU",2008-03-31,14.783,22
"92","SYU",2008-04-01,15.477,7
"93","SYU",2008-04-02,16.788,5
"94","SYU",2008-04-03,17.418,2
"95","SYU",2008-04-04,18.406,2
"96","SYU",2008-04-05,21.186,0
"97","SYU",2008-04-06,22.539,0
"98","SYU",2008-04-07,23.475,0
"99","SYU",2008-04-08,23.985,0
"100","SYU",2008-04-09,23.202,1
"101","SYU",2008-04-10,21.443,0
"102","SYU",2008-04-11,19.538,1
"103","SYU",2008-04-12,19.75,2
"104","SYU",2008-04-13,19.371,4
"105","SYU",2008-04-14,20.831,0
"106","SYU",2008-04-15,22.182,1
"107","SYU",2008-04-16,21.845,2
"108","SYU",2008-04-17,20.984,1
"109","SYU",2008-04-18,21.958,1
"110","SYU",2008-04-19,22.448,0
"111","SYU",2008-04-20,21.764,3
"112","SYU",2008-04-21,20.475,8
"113","SYU",2008-04-22,20.942,1
"114","SYU",2008-04-23,18.22,0
"115","SYU",2008-04-24,16.886,1
"116","SYU",2008-04-25,19.28,1
"117","SYU",2008-04-26,20.222,0
"118","SYU",2008-04-27,20.376,3
"119","SYU",2008-04-28,18.142,12
"120","SYU",2008-04-29,20.849,4
"121","SYU",2008-04-30,21.297,5
"122","SYU",2008-05-01,21.685,2
"123","SYU",2008-05-02,22.11,1
"124","SYU",2008-05-03,23.106,1
"125","SYU",2008-05-04,23.846,1
"126","SYU",2008-05-05,19.494,5
"127","SYU",2008-05-06,19.232,3
"128","SYU",2008-05-07,20.202,8
"129","SYU",2008-05-08,23.162,2
"130","SYU",2008-05-09,23.304,7
"131","SYU",2008-05-10,18.985,2
"132","SYU",2008-05-11,18.9,0
"133","SYU",2008-05-12,20.38,0
"134","SYU",2008-05-13,21.352,0
"135","SYU",2008-05-14,21.417,0
"136","SYU",2008-05-15,21.842,0
"137","SYU",2008-05-16,22.342,0
"138","SYU",2008-05-17,22.871,0
"139","SYU",2008-05-18,23.173,1
