system:time_start,mean_2m_air_temperature,total_precipitation
"Jan 1, 2015",282.927,0
"Jan 2, 2015",284.129,0
"Jan 3, 2015",285.668,0
"Jan 4, 2015",287.469,0
"Jan 5, 2015",288.413,0
"Jan 6, 2015",289.893,0
"Jan 7, 2015",285.325,0
"Jan 8, 2015",284.545,0
"Jan 9, 2015",285.805,0
"Jan 10, 2015",286.207,0
"Jan 11, 2015",287.043,0.001
"Jan 12, 2015",286.857,0.002
"Jan 13, 2015",287.354,0.007
"Jan 14, 2015",285.832,0
"Jan 15, 2015",286.375,0
"Jan 16, 2015",286.269,0
"Jan 17, 2015",284.945,0
"Jan 18, 2015",286.283,0
"Jan 19, 2015",286.337,0
"Jan 20, 2015",288.017,0.001
"Jan 21, 2015",285.559,0
"Jan 22, 2015",283.273,0
"Jan 23, 2015",285.879,0
"Jan 24, 2015",286.994,0
"Jan 25, 2015",288.063,0
"Jan 26, 2015",287.613,0.004
"Jan 27, 2015",286.458,0.003
"Jan 28, 2015",286.261,0.002
"Jan 29, 2015",287.404,0
"Jan 30, 2015",285.372,0
"Jan 31, 2015",284.952,0
"Feb 1, 2015",286.13,0
"Feb 2, 2015",286.671,0
"Feb 3, 2015",286.453,0
"Feb 4, 2015",283.89,0.002
"Feb 5, 2015",281.056,0.005
"Feb 6, 2015",282.439,0.002
"Feb 7, 2015",284.804,0.002
"Feb 8, 2015",281.286,0.002
"Feb 9, 2015",280.2,0.002
"Feb 10, 2015",282.8,0
"Feb 11, 2015",284.627,0
"Feb 12, 2015",283.75,0
"Feb 13, 2015",287.322,0
"Feb 14, 2015",288.772,0
"Feb 15, 2015",289.676,0.005
"Feb 16, 2015",289.663,0
"Feb 17, 2015",288.621,0
"Feb 18, 2015",288.238,0
"Feb 19, 2015",287.857,0
"Feb 20, 2015",288.009,0
"Feb 21, 2015",289.425,0.002
"Feb 22, 2015",289.749,0
"Feb 23, 2015",289.02,0.004
"Feb 24, 2015",289.12,0
"Feb 25, 2015",290.48,0
"Feb 26, 2015",290.222,0
"Feb 27, 2015",290.247,0
"Feb 28, 2015",289.983,0
"Mar 1, 2015",287.232,0
"Mar 2, 2015",287.354,0.001
"Mar 3, 2015",289.335,0
"Mar 4, 2015",287.328,0.001
"Mar 5, 2015",288.852,0.002
"Mar 6, 2015",288.72,0.004
"Mar 7, 2015",288.894,0.001
"Mar 8, 2015",289.88,0
"Mar 9, 2015",288.186,0.002
"Mar 10, 2015",283.938,0.012
"Mar 11, 2015",284.448,0.008
"Mar 12, 2015",284.994,0.001
